답사여부,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
X,홍성군청,8-12-0262,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,505,19,510,,시·군나무,대,,,,충청남도 홍성군 결성면 성호리 360,36.5398918,126.5306164,2023-12-31
X,홍성군청,8-12-0251,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,496,12,530,,시·군나무,대,,,,충청남도 홍성군 장곡면 지정리 264-2,36.5160565,126.7067477,2023-12-31
X,홍성군청,8-12-0234,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,495,18,650,,시·군나무,도로,,,,충청남도 홍성군 광천읍 소암리 421-3,36.5012466,126.6370922,2023-12-31
X,홍성군청,8-12-0261,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,475,15,430,,시·군나무,대,,,,충청남도 홍성군 결성면 성호리 581,36.5294433,126.5273445,2023-12-31
X,홍성군청,8-12-0263,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,470,14,430,,시·군나무,대,,,,충청남도 홍성군 서부면 이호리 262-4,36.5813098,126.5113275,2023-12-31
X,홍성군청,8-12-0250,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,458,15,420,,시·군나무,전,,,,충청남도 홍성군 장곡면 상송리 618-4,36.5078555,126.7017344,2023-12-31
X,홍성군청,8-12-0249,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,452,30,500,,시·군나무,구거,,,,충청남도 홍성군 장곡면 월계리 801,36.5343626,126.7353545,2023-12-31
X,홍성군청,8-12-0243,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,2,450,15,560,,시·군나무,대,,,,충청남도 홍성군 금마면 가산리 140,36.629701,126.749823,2023-12-31
X,홍성군청,8-12-0269,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,450,14,520,,시·군나무,전,,,,충청남도 홍성군 서부면 궁리 561-2,36.5916879,126.4583586,2023-12-31
X,홍성군청,10-Jan,2010-02-17,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,450,12,380,,시·군나무,임야,,,,충청남도 홍성군 구항면 내현리 산70-4,36.5760171,126.6026953,2023-12-31
X,홍성군청,8-12-0268,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,420,16,330,,시·군나무,대,,,,충청남도 홍성군 서부면 판교리 25,36.5515614,126.5249776,2023-12-31
X,홍성군청,8-12-0265,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,396,15,400,,시·군나무,전,,,,충청남도 홍성군 서부면 어사리 179-3,36.5646181,126.491447,2023-12-31
X,홍성군청,8-12-0253,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,387,17,380,,시·군나무,답,,,,충청남도 홍성군 은하면 목현리 308,36.5236719,126.5660416,2023-12-31
X,홍성군청,10-Jun,2010-10-11,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,380,12,440,,시·군나무,전,,,,충청남도 홍성군 구항면 지정리 416-1,36.5455832,126.633272,2023-12-31
X,홍성군청,10-Apr,2010-10-11,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,375,18,360,,시·군나무,도로,,,,충청남도 홍성군 장곡면 행정리 804,36.5153106,126.742491,2023-12-31
